titik_sampel;lintang_selatan;bujur_timur;jenis_parameter;parameter;baku_mutu;hasil_pengukuran;periode_data;periode_pemantauan;bulan_sampling;nama_sungai;alamat
ANK-1;-6,175882376;106,7286948;Kimia;F;1,5;0,19;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;H2S;0,002;0,008;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Klorin Bebas;0,03;0,04;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Hg;0,002;0,0002;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cd;0,01;0,539;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Zn;0,05;0,0069;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cu;0,02;0,009;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Pb;0,03;0,019;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cr6+;0,05;0,0029;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Minyak dan Lemak;1;0,539;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;MBAS;0,2;0,08;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Fenol;0,005;0,00069;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Biologi;Total Coliform;5000;3500000;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Biologi;Fecal Coliform;1000;2200000;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-2;-6,158863;106,763746;Fisika;TDS;1000;271;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
